2021-09-07 12:04:48 WARN  NativeCodeLoader:62 - Unable to load native-hadoop library for your platform... using builtin-java classes where applicable
2021-09-07 12:04:49 INFO  ContextHandler:781 - Started o.s.j.s.ServletContextHandler@2ef8a8c3{/executors/threadDump/json,null,AVAILABLE,@Spark}
2021-09-07 12:04:49 INFO  ContextHandler:781 - Started o.s.j.s.ServletContextHandler@24f43aa3{/static,null,AVAILABLE,@Spark}
2021-09-07 12:04:49 INFO  ContextHandler:781 - Started o.s.j.s.ServletContextHandler@402f80f5{/,null,AVAILABLE,@Spark}
2021-09-07 12:04:49 INFO  ContextHandler:781 - Started o.s.j.s.ServletContextHandler@5bbc9f97{/api,null,AVAILABLE,@Spark}
2021-09-07 12:04:49 INFO  ContextHandler:781 - Started o.s.j.s.ServletContextHandler@425357dd{/jobs/job/kill,null,AVAILABLE,@Spark}
2021-09-07 12:04:49 INFO  ContextHandler:781 - Started o.s.j.s.ServletContextHandler@2102a4d5{/stages/stage/kill,null,AVAILABLE,@Spark}
2021-09-07 12:04:49 INFO  ContextHandler:781 - Started o.s.j.s.ServletContextHandler@baf1bb3{/metrics/json,null,AVAILABLE,@Spark}
2021-09-07 12:04:50 INFO  FileInputFormat:249 - Total input paths to process : 2
2021-09-07 12:04:53 INFO  deprecation:1173 - mapred.output.dir is deprecated. Instead, use mapreduce.output.fileoutputformat.outputdir
2021-09-07 12:04:53 INFO  FileOutputCommitter:108 - File Output Committer Algorithm version is 1
2021-09-07 12:04:53 INFO  FileOutputCommitter:108 - File Output Committer Algorithm version is 1
2021-09-07 12:04:53 INFO  FileOutputCommitter:535 - Saved output of task 'attempt_20210907120453_0104_m_000000_0' to file:/home/cc/SparkBench/HDFS/PageRank/Output/_temporary/0/task_20210907120453_0104_m_000000
2021-09-07 12:04:53 INFO  FileOutputCommitter:108 - File Output Committer Algorithm version is 1
2021-09-07 12:04:53 INFO  FileOutputCommitter:535 - Saved output of task 'attempt_20210907120453_0104_m_000001_0' to file:/home/cc/SparkBench/HDFS/PageRank/Output/_temporary/0/task_20210907120453_0104_m_000001
2021-09-07 12:04:53 INFO  AbstractConnector:318 - Stopped Spark@41394595{HTTP/1.1,[http/1.1]}{0.0.0.0:4042}
